Territorialidades;IDHM 2010
Manoel Urbano (AC);0,551
Manoel Viana (RS);0,655
Manoel Vitorino (BA);0,566
Mansidão (BA);0,599
Mantena (MG);0,675
Mantenópolis (ES);0,657
Maquiné (RS);0,682
Maraã (AM);0,498
Marabá (PA);0,668
Marabá Paulista (SP);0,677
Maracaçumé (MA);0,582
Maracaí (SP);0,771
Maracajá (SC);0,768
Maracaju (MS);0,736
Maracanã (PA);0,57
Maracanaú (CE);0,686
Maracás (BA);0,607
Maragogi (AL);0,574
Maragogipe (BA);0,621
Maraial (PE);0,534
Marajá do Sena (MA);0,452
Maranguape (CE);0,659
Maranhãozinho (MA);0,55
Marapanim (PA);0,609
Marapoama (SP);0,752
Mara Rosa (GO);0,691
Marataízes (ES);0,696
Maratá (RS);0,697
Maraú (BA);0,593
Marau (RS);0,774
Maravilha (AL);0,569
Maravilha (SC);0,781
Maravilhas (MG);0,672
Marcação (PB);0,529
Marcelândia (MT);0,701
Marcelino Ramos (RS);0,724
Marcelino Vieira (RN);0,609
Marcionílio Souza (BA);0,561
Marco (CE);0,612
Marcolândia (PI);0,562
Marcos Parente (PI);0,59
Mar de Espanha (MG);0,684
Marechal Cândido Rondon (PR);0,774
Marechal Deodoro (AL);0,642
Marechal Floriano (ES);0,71
Marechal Thaumaturgo (AC);0,501
Marema (SC);0,743
Maria da Fé (MG);0,702
Maria Helena (PR);0,703
Marialva (PR);0,735
Mariana (MG);0,742
Mariana Pimentel (RS);0,701
Mariano Moro (RS);0,73
Marianópolis do Tocantins (TO);0,631
Mariápolis (SP);0,718
Maribondo (AL);0,597
Maricá (RJ);0,765
Marilac (MG);0,615
Marilândia do Sul (PR);0,691
Marilândia (ES);0,696
Marilena (PR);0,681
Marília (SP);0,798
Mariluz (PR);0,639
Maringá (PR);0,808
Marinópolis (SP);0,731
Mário Campos (MG);0,699
Mariópolis (PR);0,698
Maripá de Minas (MG);0,68
Maripá (PR);0,758
Mari (PB);0,548
Marituba (PA);0,676
Marizópolis (PB);0,608
Marliéria (MG);0,657
Marmeleiro (PR);0,722
Marmelópolis (MG);0,65
Marques de Souza (RS);0,687
Marquinho (PR);0,614
Martinho Campos (MG);0,669
Martinópole (CE);0,599
Martinópolis (SP);0,721
Martins (RN);0,622
Martins Soares (MG);0,635
Maruim (SE);0,618
Marumbi (PR);0,721
Mar Vermelho (AL);0,577
Marzagão (GO);0,699
Mascote (BA);0,581
Massapê (CE);0,616
Massapê do Piauí (PI);0,525
Massaranduba (PB);0,567
Massaranduba (SC);0,774
Mata de São João (BA);0,668
Mata Grande (AL);0,504
Matão (SP);0,773
Mataraca (PB);0,536
Mata Roma (MA);0,57
Mata (RS);0,656
Mata Verde (MG);0,581
Mateiros (TO);0,607
Matelândia (PR);0,725
Materlândia (MG);0,597
Mateus Leme (MG);0,704
Mathias Lobato (MG);0,612
Matias Barbosa (MG);0,72
Matias Cardoso (MG);0,616
Matias Olímpio (PI);0,562
Matina (BA);0,572
Matinha (MA);0,619
Matinhas (PB);0,541
Matinhos (PR);0,743
Matipó (MG);0,631
Mato Castelhano (RS);0,727
Matões do Norte (MA);0,533
Matões (MA);0,55
Mato Grosso (PB);0,565
Mato Leitão (RS);0,746
Mato Queimado (RS);0,717
Mato Rico (PR);0,632
Matos Costa (SC);0,657
Mato Verde (MG);0,662
Matozinhos (MG);0,731
Matrinchã (GO);0,679
Matriz de Camaragibe (AL);0,584
Matupá (MT);0,716
Maturéia (PB);0,572
Matutina (MG);0,707
Mauá da Serra (PR);0,652
Mauá (SP);0,766
Maués (AM);0,588
Maurilândia do Tocantins (TO);0,58
Maurilândia (GO);0,677
Mauriti (CE);0,605
Maxaranguape (RN);0,608
Maximiliano de Almeida (RS);0,699
Mazagão (AP);0,592
Medeiros (MG);0,711
Medeiros Neto (BA);0,625
Medianeira (PR);0,763
Medicilândia (PA);0,582
Medina (MG);0,624
Meleiro (SC);0,738
Melgaço (PA);0,418
Mendes Pimentel (MG);0,626
Mendes (RJ);0,736
Mendonça (SP);0,744
Mercedes (PR);0,74
Mercês (MG);0,664
Meridiano (SP);0,731
Meruoca (CE);0,618
Mesópolis (SP);0,724
Mesquita (MG);0,656
Mesquita (RJ);0,737
Messias (AL);0,568
Messias Targino (RN);0,644
Miguel Alves (PI);0,539
Miguel Calmon (BA);0,586
Miguel Leão (PI);0,623
Miguelópolis (SP);0,741
Miguel Pereira (RJ);0,745
Milagres (BA);0,622
Milagres (CE);0,628
Milagres do Maranhão (MA);0,527
Milhã (CE);0,626
Milton Brandão (PI);0,508
Mimoso de Goiás (GO);0,665
Mimoso do Sul (ES);0,67
Minaçu (GO);0,707
Minador do Negrão (AL);0,563
Minas do Leão (RS);0,681
Minas Novas (MG);0,633
Minduri (MG);0,658
Mineiros do Tietê (SP);0,73
Mineiros (GO);0,718
Ministro Andreazza (RO);0,638
Mirabela (MG);0,665
Miracatu (SP);0,697
Miracema do Tocantins (TO);0,684
Miracema (RJ);0,713
Mirador (MA);0,545
Mirador (PR);0,68
Miradouro (MG);0,663
Mira Estrela (SP);0,743
Miraguaí (RS);0,725
Miraíma (CE);0,592
Miraí (MG);0,68
Miranda do Norte (MA);0,61
Miranda (MS);0,632
Mirandiba (PE);0,591
Mirandópolis (SP);0,751
Mirangaba (BA);0,542
Miranorte (TO);0,662
Mirante (BA);0,527
Mirante da Serra (RO);0,643
Mirante do Paranapanema (SP);0,724
Miraselva (PR);0,748
Mirassolândia (SP);0,738
Mirassol D'Oeste (MT);0,704
Mirassol (SP);0,762
Miravânia (MG);0,593
Mirim Doce (SC);0,708
Mirinzal (MA);0,622
Missal (PR);0,711
Missão Velha (CE);0,622
Mocajuba (PA);0,575
Mococa (SP);0,762
Modelo (SC);0,76
Moeda (MG);0,638
Moema (MG);0,721
Mogeiro (PB);0,574
Mogi das Cruzes (SP);0,783
Mogi Guaçu (SP);0,774
Mogi Mirim (SP);0,784
Moiporá (GO);0,696
Moita Bonita (SE);0,587
Moju (PA);0,547
Mombaça (CE);0,582
Mombuca (SP);0,719
Monção (MA);0,546
Monções (SP);0,772
Mondaí (SC);0,748
Mongaguá (SP);0,754
Monjolos (MG);0,65
Monsenhor Gil (PI);0,615
Monsenhor Hipólito (PI);0,561
Monsenhor Paulo (MG);0,721
Monsenhor Tabosa (CE);0,61
Montadas (PB);0,59
Montalvânia (MG);0,613
Montanha (ES);0,667
Montanhas (RN);0,557
Montauri (RS);0,764
Monte Alegre de Goiás (GO);0,615
Monte Alegre de Minas (MG);0,674
Monte Alegre de Sergipe (SE);0,553
Monte Alegre do Piauí (PI);0,578
Monte Alegre dos Campos (RS);0,65
Monte Alegre do Sul (SP);0,759
Monte Alegre (PA);0,589
Monte Alegre (RN);0,609
Monte Alto (SP);0,768
Monte Aprazível (SP);0,785
Monte Azul (MG);0,659
Monte Azul Paulista (SP);0,753
Monte Belo do Sul (RS);0,752
Monte Belo (MG);0,688
Monte Carlo (SC);0,643
Monte Carmelo (MG);0,728
Monte Castelo (SC);0,675
Monte Castelo (SP);0,741
Monte das Gameleiras (RN);0,598
Monte do Carmo (TO);0,622
Monte Formoso (MG);0,541
Monte Horebe (PB);0,587
Monteiro Lobato (SP);0,71
Monteiro (PB);0,628
Monteirópolis (AL);0,539
Monte Mor (SP);0,733
Monte Negro (RO);0,607
Montenegro (RS);0,755
Montes Altos (MA);0,575
Monte Santo (BA);0,506
Monte Santo de Minas (MG);0,71
Monte Santo do Tocantins (TO);0,62
Montes Claros de Goiás (GO);0,707
Montes Claros (MG);0,77
Monte Sião (MG);0,724
Montezuma (MG);0,587
Montividiu do Norte (GO);0,613
Montividiu (GO);0,733
Morada Nova (CE);0,61
Morada Nova de Minas (MG);0,696
Moraújo (CE);0,581
Moreilândia (PE);0,6
Moreira Sales (PR);0,675
Moreno (PE);0,652
Mormaço (RS);0,714
Morpará (BA);0,558
Morretes (PR);0,686
Morrinhos (CE);0,588
Morrinhos do Sul (RS);0,711
Morrinhos (GO);0,734
Morro Agudo de Goiás (GO);0,695
Morro Agudo (SP);0,712
Morro Cabeça no Tempo (PI);0,542
Morro da Fumaça (SC);0,738
Morro da Garça (MG);0,648
Morro do Chapéu (BA);0,588
Morro do Chapéu do Piauí (PI);0,55
Morro do Pilar (MG);0,597
Morro Grande (SC);0,701
Morro Redondo (RS);0,702
Morro Reuter (RS);0,743
Morros (MA);0,548
Mortugaba (BA);0,618
Morungaba (SP);0,715
Mossâmedes (GO);0,706
Mossoró (RN);0,72
Mostardas (RS);0,664
Motuca (SP);0,741
Mozarlândia (GO);0,683
Muaná (PA);0,547
Mucajaí (RR);0,665
Mucambo (CE);0,607
Mucugê (BA);0,606
Muçum (RS);0,746
Mucuri (BA);0,665
Mucurici (ES);0,666
Muitos Capões (RS);0,702
Muliterno (RS);0,689
Mulungu (CE);0,607
Mulungu do Morro (BA);0,566
Mulungu (PB);0,565
Mundo Novo (BA);0,59
Mundo Novo (GO);0,634
Mundo Novo (MS);0,686
Munhoz de Melo (PR);0,726
Munhoz (MG);0,647
Muniz Ferreira (BA);0,617
Muniz Freire (ES);0,645
Muquém de São Francisco (BA);0,549
Muqui (ES);0,694
Muriaé (MG);0,734
Muribeca (SE);0,626
Murici (AL);0,527
Murici dos Portelas (PI);0,53
Muricilândia (TO);0,596
Muritiba (BA);0,66
Murutinga do Sul (SP);0,726
Mutuípe (BA);0,601
Mutum (MG);0,644
Mutunópolis (GO);0,68
Muzambinho (MG);0,74
Nacip Raydan (MG);0,585
Nantes (SP);0,714
Nanuque (MG);0,701
Não-Me-Toque (RS);0,765
Naque (MG);0,675
Narandiba (SP);0,718
Natalândia (MG);0,671
Natal (RN);0,763
Natércia (MG);0,693
Natividade da Serra (SP);0,655
Natividade (RJ);0,73
Natividade (TO);0,673
Natuba (PB);0,541
Navegantes (SC);0,736
Naviraí (MS);0,7
Nazaré (BA);0,641
Nazaré da Mata (PE);0,662
Nazaré do Piauí (PI);0,576
Nazareno (MG);0,69
Nazaré Paulista (SP);0,678
Nazaré (TO);0,643
Nazarezinho (PB);0,562
Nazária (PI);0,602
Nazário (GO);0,71
Neópolis (SE);0,589
Nepomuceno (MG);0,667
Nerópolis (GO);0,721
Neves Paulista (SP);0,754
Nhamundá (AM);0,586
Nhandeara (SP);0,751
Nicolau Vergueiro (RS);0,753
Nilo Peçanha (BA);0,547
Nilópolis (RJ);0,753
Nina Rodrigues (MA);0,585
Ninheira (MG);0,556
Nioaque (MS);0,639
Nipoã (SP);0,713
Niquelândia (GO);0,715
Nísia Floresta (RN);0,622
Niterói (RJ);0,837
Nobres (MT);0,699
Nonoai (RS);0,702
Nordestina (BA);0,56
Normandia (RR);0,594
Nortelândia (MT);0,702
Nossa Senhora Aparecida (SE);0,577
Nossa Senhora da Glória (SE);0,587
Nossa Senhora das Dores (SE);0,6
Nossa Senhora das Graças (PR);0,709
Nossa Senhora de Lourdes (SE);0,598
Nossa Senhora de Nazaré (PI);0,586
Nossa Senhora do Livramento (MT);0,638
Nossa Senhora do Socorro (SE);0,664
Nossa Senhora dos Remédios (PI);0,533
Nova Aliança do Ivaí (PR);0,717
Nova Aliança (SP);0,738
Nova Alvorada do Sul (MS);0,694
Nova Alvorada (RS);0,74
Nova América da Colina (PR);0,698
Nova América (GO);0,678
Nova Andradina (MS);0,721
Nova Araçá (RS);0,785
Nova Aurora (GO);0,747
Nova Aurora (PR);0,733
Nova Bandeirantes (MT);0,65
Nova Bassano (RS);0,747
Nova Belém (MG);0,592
Nova Boa Vista (RS);0,768
Nova Brasilândia D'Oeste (RO);0,643
Nova Brasilândia (MT);0,651
Nova Bréscia (RS);0,778
Nova Campina (SP);0,651
Nova Canaã (BA);0,545
Nova Canaã do Norte (MT);0,686
Nova Canaã Paulista (SP);0,715
Nova Candelária (RS);0,759
Nova Cantu (PR);0,658
Nova Castilho (SP);0,756
Nova Colinas (MA);0,566
Nova Crixás (GO);0,643
Nova Cruz (RN);0,629
Nova Era (MG);0,709
Nova Erechim (SC);0,765
Nova Esperança do Piriá (PA);0,502
Nova Esperança do Sudoeste (PR);0,714
Nova Esperança do Sul (RS);0,735
Nova Esperança (PR);0,722
Nova Europa (SP);0,765
Nova Fátima (BA);0,597
Nova Fátima (PR);0,688
Nova Floresta (PB);0,601
Nova Friburgo (RJ);0,745
Nova Glória (GO);0,681
Nova Granada (SP);0,739
Nova Guarita (MT);0,688
Nova Guataporanga (SP);0,726
Nova Hartz (RS);0,689
Nova Ibiá (BA);0,57
Nova Iguaçu de Goiás (GO);0,655
Nova Iguaçu (RJ);0,713
Nova Independência (SP);0,735
Nova Iorque (MA);0,584
Nova Ipixuna (PA);0,581
Novais (SP);0,719
Nova Itaberaba (SC);0,736
Nova Itarana (BA);0,524
Nova Lacerda (MT);0,636
Nova Laranjeiras (PR);0,642
Nova Lima (MG);0,813
Nova Londrina (PR);0,758
Nova Luzitânia (SP);0,743
Nova Mamoré (RO);0,587
Nova Marilândia (MT);0,704
Nova Maringá (MT);0,663
Nova Módica (MG);0,63
Nova Monte Verde (MT);0,691
Nova Mutum (MT);0,758
Nova Nazaré (MT);0,595
Nova Odessa (SP);0,791
Nova Olímpia (MT);0,682
Nova Olímpia (PR);0,71
Nova Olinda (CE);0,625
Nova Olinda do Maranhão (MA);0,581
Nova Olinda do Norte (AM);0,558
Nova Olinda (PB);0,573
Nova Olinda (TO);0,631
Nova Pádua (RS);0,761
Nova Palma (RS);0,744
Nova Palmeira (PB);0,595
Nova Petrópolis (RS);0,78
Nova Ponte (MG);0,701
Nova Porteirinha (MG);0,641
Nova Prata do Iguaçu (PR);0,716
Nova Prata (RS);0,766
Nova Ramada (RS);0,742
Nova Redenção (BA);0,567
Nova Resende (MG);0,671
Nova Roma do Sul (RS);0,741
Nova Roma (GO);0,634
Nova Rosalândia (TO);0,661
Nova Russas (CE);0,614
Nova Santa Bárbara (PR);0,68
Nova Santa Helena (MT);0,714
Nova Santa Rita (PI);0,554
Nova Santa Rita (RS);0,718
Nova Santa Rosa (PR);0,731
Nova Serrana (MG);0,715
Nova Soure (BA);0,555
Nova Tebas (PR);0,651
Nova Timboteua (PA);0,609
Nova Trento (SC);0,748
Nova Ubiratã (MT);0,669
Nova União (MG);0,662
Nova União (RO);0,587
Nova Venécia (ES);0,712
Nova Veneza (GO);0,718
Nova Veneza (SC);0,768
Nova Viçosa (BA);0,654
Nova Xavantina (MT);0,704
Novo Acordo (TO);0,639
Novo Airão (AM);0,57
Novo Alegre (TO);0,699
Novo Aripuanã (AM);0,554
Novo Barreiro (RS);0,706
Novo Brasil (GO);0,699
Novo Cabrais (RS);0,688
Novo Cruzeiro (MG);0,571
Novo Gama (GO);0,684
Novo Hamburgo (RS);0,747
Novo Horizonte (BA);0,597
Novo Horizonte do Norte (MT);0,664
Novo Horizonte do Oeste (RO);0,634
Novo Horizonte do Sul (MS);0,649
Novo Horizonte (SC);0,706
Novo Horizonte (SP);0,753
Novo Itacolomi (PR);0,71
Novo Jardim (TO);0,596
Novo Lino (AL);0,521
Novo Machado (RS);0,663
Novo Mundo (MT);0,674
Novo Oriente (CE);0,605
Novo Oriente de Minas (MG);0,555
Novo Oriente do Piauí (PI);0,562
Novo Planalto (GO);0,658
Novo Progresso (PA);0,673
Novo Repartimento (PA);0,537
Novorizonte (MG);0,616
Novo Santo Antônio (MT);0,653
Novo Santo Antônio (PI);0,528
Novo São Joaquim (MT);0,649
Novo Tiradentes (RS);0,676
Novo Triunfo (BA);0,554
Novo Xingu (RS);0,767
Nuporanga (SP);0,746
Óbidos (PA);0,594
Ocara (CE);0,594
Ocauçu (SP);0,717
Oeiras do Pará (PA);0,507
Oeiras (PI);0,634
Oiapoque (AP);0,658
Olaria (MG);0,636
Óleo (SP);0,73
Olho D'Água das Cunhãs (MA);0,589
Olho D'Água das Flores (AL);0,565
Olho-D'Água do Borges (RN);0,585
Olho D'Água do Casado (AL);0,525
Olho D'Água do Piauí (PI);0,576
Olho D'Água Grande (AL);0,503
Olho D'Água (PB);0,572
Olhos-D'Água (MG);0,626
Olímpia (SP);0,773
Olímpio Noronha (MG);0,674
Olinda Nova do Maranhão (MA);0,575
Olinda (PE);0,735
Olindina (BA);0,559
Olivedos (PB);0,603
Oliveira de Fátima (TO);0,675
Oliveira dos Brejinhos (BA);0,554
Oliveira Fortes (MG);0,635
Oliveira (MG);0,699
Olivença (AL);0,493
Onça de Pitangui (MG);0,663
Onda Verde (SP);0,738
Oratórios (MG);0,637
Oriente (SP);0,77
Orindiúva (SP);0,767
Oriximiná (PA);0,623
Orizânia (MG);0,562
Orizona (GO);0,715
Orlândia (SP);0,78
Orleans (SC);0,755
Orobó (PE);0,61
Orocó (PE);0,61
Orós (CE);0,636
Ortigueira (PR);0,609
Osasco (SP);0,776
Oscar Bressane (SP);0,749
Osório (RS);0,751
Osvaldo Cruz (SP);0,762
Otacílio Costa (SC);0,74
Ourém (PA);0,568
Ouriçangas (BA);0,607
Ouricuri (PE);0,572
Ourilândia do Norte (PA);0,624
Ourinhos (SP);0,778
Ourizona (PR);0,72
Ouro Branco (AL);0,547
Ouro Branco (MG);0,764
Ouro Branco (RN);0,645
Ouroeste (SP);0,77
Ouro Fino (MG);0,722
Ourolândia (BA);0,56
Ouro Preto do Oeste (RO);0,682
Ouro Preto (MG);0,741
Ouro (SC);0,774
Ouro Velho (PB);0,614
Ouro Verde de Goiás (GO);0,719
Ouro Verde de Minas (MG);0,595
Ouro Verde do Oeste (PR);0,709
Ouro Verde (SC);0,695
Ouro Verde (SP);0,692
Ouvidor (GO);0,747
Pacaembu (SP);0,725
Pacajá (PA);0,515
Pacajus (CE);0,659
Pacaraima (RR);0,65
Pacatuba (CE);0,675
Pacatuba (SE);0,555
Paço do Lumiar (MA);0,724
Pacoti (CE);0,635
Pacujá (CE);0,621
Padre Bernardo (GO);0,651
Padre Carvalho (MG);0,599
Padre Marcos (PI);0,541
Padre Paraíso (MG);0,596
Paes Landim (PI);0,575
Paial (SC);0,718
Paiçandu (PR);0,716
Paim Filho (RS);0,706
Paineiras (MG);0,669
Painel (SC);0,664
Pains (MG);0,728
Pai Pedro (MG);0,59
Paiva (MG);0,72
Pajeú do Piauí (PI);0,559
Palestina (AL);0,558
Palestina de Goiás (GO);0,713
Palestina do Pará (PA);0,589
Palestina (SP);0,732
Palhano (CE);0,638
Palhoça (SC);0,757
Palmácia (CE);0,622
Palma (MG);0,703
Palmares do Sul (RS);0,715
Palmares Paulista (SP);0,722
Palmares (PE);0,622
Palmas de Monte Alto (BA);0,586
Palma Sola (SC);0,704
Palmas (PR);0,66
Palmas (TO);0,788
Palmeira das Missões (RS);0,737
Palmeira D'Oeste (SP);0,753
Palmeira do Piauí (PI);0,557
Palmeira dos Índios (AL);0,638
Palmeirais (PI);0,562
Palmeirândia (MA);0,556
Palmeirante (TO);0,571
Palmeira (PR);0,718
Palmeiras (BA);0,643
Palmeira (SC);0,671
Palmeiras de Goiás (GO);0,698
Palmeiras do Tocantins (TO);0,628
Palmeirina (PE);0,549
Palmeirópolis (TO);0,673
Palmelo (GO);0,73
Palminópolis (GO);0,722
Palmital (PR);0,639
Palmital (SP);0,746
Palmitinho (RS);0,72
Palmitos (SC);0,737
Palmópolis (MG);0,565
Palotina (PR);0,768
Panamá (GO);0,686
Panambi (RS);0,761
Pancas (ES);0,667
Panelas (PE);0,569
Panorama (SP);0,722
Pantano Grande (RS);0,661
Pão de Açúcar (AL);0,593
Papagaios (MG);0,666
Papanduva (SC);0,704
Paquetá (PI);0,509
Paracambi (RJ);0,72
Paracatu (MG);0,744
Paracuru (CE);0,637
Pará de Minas (MG);0,725
Paragominas (PA);0,645
Paraguaçu (MG);0,715
Paraguaçu Paulista (SP);0,762
Paraíba do Sul (RJ);0,702
Paraibano (MA);0,58
Paraibuna (SP);0,719
Paraipaba (CE);0,634
Paraí (RS);0,773
Paraíso do Norte (PR);0,746
Paraíso do Sul (RS);0,676
Paraíso do Tocantins (TO);0,764
Paraisópolis (MG);0,729
Paraíso (SC);0,7
Paraíso (SP);0,749
Parambu (CE);0,57
Paramirim (BA);0,615
Paramoti (CE);0,583
Paranacity (PR);0,717
Paranaguá (PR);0,75
Paranaíba (MS);0,721
Paranaiguara (GO);0,711
Paranaíta (MT);0,672
Paranapanema (SP);0,717
Paranapoema (PR);0,709
Paranapuã (SP);0,732
Paraná (RN);0,589
Paranatama (PE);0,537
Paranatinga (MT);0,667
Paranã (TO);0,595
Paranavaí (PR);0,763
Paranhos (MS);0,588
Paraopeba (MG);0,694
Parapuã (SP);0,737
Parari (PB);0,584
Paratinga (BA);0,59
Paraty (RJ);0,693
Parauapebas (PA);0,715
Paraúna (GO);0,672
Paraú (RN);0,603
Parazinho (RN);0,549
Pardinho (SP);0,727
Pareci Novo (RS);0,749
Parecis (RO);0,617
Parelhas (RN);0,676
Pariconha (AL);0,548
Parintins (AM);0,658
Paripiranga (BA);0,577
Paripueira (AL);0,605
Pariquera-Açu (SP);0,736
Parisi (SP);0,721
Parnaguá (PI);0,575
Parnaíba (PI);0,687
Parnamirim (PE);0,599
Parnamirim (RN);0,766
Parnarama (MA);0,542
Parobé (RS);0,704
Passabém (MG);0,642
Passa E Fica (RN);0,606
Passagem Franca do Piauí (PI);0,561
Passagem Franca (MA);0,532
Passagem (PB);0,62
Passagem (RN);0,589
Passa Quatro (MG);0,715
Passa Sete (RS);0,622
Passa Tempo (MG);0,687
Passa-Vinte (MG);0,648
Passira (PE);0,592
Passo de Camaragibe (AL);0,533
Passo de Torres (SC);0,72
Passo do Sobrado (RS);0,698
Passo Fundo (RS);0,776
Passos Maia (SC);0,659
Passos (MG);0,756
Pastos Bons (MA);0,61
Patis (MG);0,614
Pato Bragado (PR);0,747
Pato Branco (PR);0,782
Patos de Minas (MG);0,765
Patos do Piauí (PI);0,563
Patos (PB);0,701
Patrocínio do Muriaé (MG);0,682
Patrocínio (MG);0,729
Patrocínio Paulista (SP);0,73
Patu (RN);0,618
Paty do Alferes (RJ);0,671
Pau Brasil (BA);0,583
Paudalho (PE);0,639
Pau D'Arco do Piauí (PI);0,514
Pau D'Arco (PA);0,574
Pau D'Arco (TO);0,661
Pau dos Ferros (RN);0,678
Pauini (AM);0,496
Paula Cândido (MG);0,637
Paula Freitas (PR);0,717
Paulicéia (SP);0,711
Paulínia (SP);0,795
Paulino Neves (MA);0,561
Paulistana (PI);0,6
Paulistânia (SP);0,718
Paulista (PB);0,587
Paulista (PE);0,732
Paulistas (MG);0,625
Paulo Afonso (BA);0,674
Paulo Bento (RS);0,71
Paulo de Faria (SP);0,725
Paulo Frontin (PR);0,708
Paulo Jacinto (AL);0,589
Paulo Lopes (SC);0,716
Paulo Ramos (MA);0,549
Pavão (MG);0,627
Paverama (RS);0,683
Pavussu (PI);0,526
Peabiru (PR);0,723
Peçanha (MG);0,627
Pederneiras (SP);0,739
Pé de Serra (BA);0,587
Pedra Azul (MG);0,627
Pedra Bela (SP);0,677
Pedra Bonita (MG);0,573
Pedra Branca (CE);0,603
Pedra Branca do Amapari (AP);0,626
Pedra Branca (PB);0,599
Pedra do Anta (MG);0,624
Pedra do Indaiá (MG);0,708
Pedra Dourada (MG);0,655
Pedra Grande (RN);0,559
Pedra Lavrada (PB);0,574
Pedralva (MG);0,675
Pedra Mole (SE);0,593
Pedranópolis (SP);0,742
Pedrão (BA);0,588
Pedra (PE);0,567
Pedra Preta (MT);0,679
Pedra Preta (RN);0,558
Pedras Altas (RS);0,64
Pedras de Fogo (PB);0,59
Pedras de Maria da Cruz (MG);0,614
Pedras Grandes (SC);0,728
Pedregulho (SP);0,715
Pedreiras (MA);0,682
Pedreira (SP);0,769
Pedrinhas Paulista (SP);0,774
Pedrinhas (SE);0,592
Pedrinópolis (MG);0,729
Pedro Afonso (TO);0,732
Pedro Alexandre (BA);0,513
Pedro Avelino (RN);0,583
Pedro Canário (ES);0,654
Pedro de Toledo (SP);0,696
Pedro do Rosário (MA);0,516
Pedro Gomes (MS);0,671
Pedro Ii (PI);0,571
Pedro Laurentino (PI);0,562
Pedro Leopoldo (MG);0,757
Pedro Osório (RS);0,678
Pedro Régis (PB);0,542
Pedro Teixeira (MG);0,637
Pedro Velho (RN);0,568
Peixe-Boi (PA);0,581
Peixe (TO);0,674
Peixoto de Azevedo (MT);0,649
Pejuçara (RS);0,741
Pelotas (RS);0,739
Penaforte (CE);0,646
Penalva (MA);0,554
Penápolis (SP);0,759
Pendências (RN);0,631
Penedo (AL);0,63
Penha (SC);0,743
Pentecoste (CE);0,629
Pequeri (MG);0,694
Pequi (MG);0,674
Pequizeiro (TO);0,627
Perdigão (MG);0,703
Perdizes (MG);0,723
Perdões (MG);0,744
Pereira Barreto (SP);0,766
Pereiras (SP);0,736
Pereiro (CE);0,601
Peri Mirim (MA);0,599
Periquito (MG);0,651
Peritiba (SC);0,766
Peritoró (MA);0,564
Perobal (PR);0,713
Pérola D'Oeste (PR);0,726
Perolândia (GO);0,676
Pérola (PR);0,7
Peruíbe (SP);0,749
Pescador (MG);0,656
Pesqueira (PE);0,61
Petrolândia (PE);0,623
Petrolândia (SC);0,716
Petrolina de Goiás (GO);0,712
Petrolina (PE);0,697
Petrópolis (RJ);0,745
Piaçabuçu (AL);0,572
Piacatu (SP);0,732
Piancó (PB);0,621
Piatã (BA);0,571
Piau (MG);0,629
Picada Café (RS);0,758
Piçarra (PA);0,563
Picos (PI);0,698
Picuí (PB);0,608
Piedade de Caratinga (MG);0,612
Piedade de Ponte Nova (MG);0,639
Piedade do Rio Grande (MG);0,678
Piedade dos Gerais (MG);0,626
Piedade (SP);0,716
Piên (PR);0,694
Pilão Arcado (BA);0,506
Pilar (AL);0,61
Pilar de Goiás (GO);0,684
Pilar do Sul (SP);0,69
Pilar (PB);0,579
Pilões (PB);0,56
Pilões (RN);0,614
Pilõezinhos (PB);0,564
Pimenta Bueno (RO);0,71
Pimenta (MG);0,686
Pimenteiras do Oeste (RO);0,665
Pimenteiras (PI);0,566
Pindaí (BA);0,603
Pindamonhangaba (SP);0,773
Pindaré-Mirim (MA);0,633
Pindoba (AL);0,574
Pindobaçu (BA);0,577
Pindorama do Tocantins (TO);0,605
Pindorama (SP);0,737
Pindoretama (CE);0,636
Pingo-D'Água (MG);0,619
Pinhais (PR);0,751
Pinhalão (PR);0,697
Pinhal da Serra (RS);0,65
Pinhal de São Bento (PR);0,695
Pinhal Grande (RS);0,678
Pinhal (RS);0,72
Pinhalzinho (SC);0,783
Pinhalzinho (SP);0,725
Pinhão (PR);0,654
Pinhão (SE);0,583
Pinheiral (RJ);0,715
Pinheirinho do Vale (RS);0,71
Pinheiro Machado (RS);0,661
Pinheiro (MA);0,637
Pinheiro Preto (SC);0,777
Pinheiros (ES);0,673
Pintadas (BA);0,612
Pintópolis (MG);0,594
Pio Ix (PI);0,564
Pio Xii (MA);0,541
Piquerobi (SP);0,711
Piquet Carneiro (CE);0,6
Piquete (SP);0,757
Piracaia (SP);0,739
Piracanjuba (GO);0,721
Piracema (MG);0,646
Piracicaba (SP);0,785
Piracuruca (PI);0,596
Piraí do Norte (BA);0,533
Piraí do Sul (PR);0,708
Piraí (RJ);0,708
Pirajuba (MG);0,723
Pirajuí (SP);0,749
Piraju (SP);0,758
Pirambu (SE);0,603
Piranga (MG);0,6
Pirangi (SP);0,756
Piranguçu (MG);0,685
Piranguinho (MG);0,717
Piranhas (AL);0,589
Piranhas (GO);0,721
Pirapemas (MA);0,576
Pirapetinga (MG);0,709
Pirapora do Bom Jesus (SP);0,727
Pirapora (MG);0,731
Pirapó (RS);0,669
Pirapozinho (SP);0,776
Piraquara (PR);0,7
Piraquê (TO);0,621
Pirassununga (SP);0,801
Piratininga (SP);0,779
Piratini (RS);0,658
Piratuba (SC);0,758
Piraúba (MG);0,684
